secCode,docID,流動資産_EDINET,負債合計_EDINET,投資有価証券_EDINET,更新日
44650,S100Z0B0,14116005000.0,7827927000.0,465419000.0,2026-09-06
95170,S100Z0MU,49973000000.0,64528000000.0,3615000000.0,2026-09-06
98160,S100Z0JB,3497253000.0,3034750000.0,10000000.0,2026-09-06
208A0,S100Z0JO,9444243000.0,11898779000.0,4239727000.0,2026-09-06
31540,S100Z02J,91252708000.0,95089368000.0,4713827000.0,2026-09-06
40990,S100YZOS,80288000000.0,51659000000.0,24023000000.0,2026-09-06
49230,S100YYQN,8898184000.0,3670072000.0,191837000.0,2026-09-06
192A0,S100YZEV,1958557000.0,223924000.0,,2026-09-06
288A0,S100YYR9,1896493000.0,1699150000.0,,2026-09-06
40880,S100YZGY,122825000000.0,423315000000.0,42001000000.0,2026-09-06
78880,S100YZ2B,40097000000.0,43272000000.0,22000000.0,2026-09-06
90230,S100YZAA,316446000000.0,1313215000000.0,5240000000.0,2026-09-06
63800,S100YZBS,2665127000.0,3274464000.0,223958000.0,2026-09-06
45680,S100YZB3,1257803000000.0,1758539000000.0,49122000000.0,2026-09-06
24620,S100YZCT,17232215000.0,22648434000.0,441087000.0,2026-09-06
59670,S100YZDE,8715492000.0,3233118000.0,2293262000.0,2026-09-06
61500,S100YZ4M,5267692000.0,2401404000.0,107143000.0,2026-09-06
38100,S100YZC8,752000000.0,531000000.0,90000000.0,2026-09-06
353A0,S100YZBZ,1448089000.0,1326837000.0,,2026-09-06
82530,S100YZ8K,286215000.0,2404109000.0,,2026-09-06
32360,S100YZF9,44996000000.0,29692000000.0,271000000.0,2026-09-06
24370,S100YZC3,2643516000.0,965191000.0,7564000.0,2026-09-06
88870,S100YZFP,48863000000.0,51651000000.0,453000000.0,2026-09-06
581A0,S100YZFU,53908000000.0,39524000000.0,0.0,2026-09-06
78080,S100YYY4,9569614000.0,15649286000.0,311658000.0,2026-09-06
33210,S100YYVJ,37918528000.0,24321519000.0,69644000.0,2026-09-06
505A0,S100YZ0G,2546352000.0,1356810000.0,,2026-09-06
37600,S100YXXZ,8479365000.0,6981732000.0,869216000.0,2026-09-06
76730,S100YYF5,13054536000.0,9175125000.0,549000000.0,2026-09-06
38770,S100YYQ0,54612000000.0,65946000000.0,11651000000.0,2026-09-06
77250,S100YYJX,12155541000.0,1891359000.0,130429000.0,2026-09-06
