銘柄コード,銘柄名,現在株価,時価総額(億円),PER,PBR,自己資本比率(%),流動資産,負債合計,投資有価証券,発行済株式数,Netキャッシュ,1株ネットキャッシュ,ネットキャッシュ比率,乖離率(%),欠損項目,データ元,エラー,業種
1333.T,Ｕｍｉｏｓ,1285.0,1942.70527488,8.802576,0.7836546,38.776802509505096,414576000000.0,405815000000.0,44671000000.0,151183299.0,-550800000.0000648,-3.6432595640082233,-0.002835221450590057,-100.283522145059,,EDINET,,水産・農林業
1301.T,極洋,4665.0,554.19625472,8.095866,0.7004061,36.83278924336467,134260000000.0,113769000000.0,14053000000.0,11879877.0,18951199999.999985,1595.2353715446704,0.341958279002073,-65.80417209979271,,EDINET,,水産・農林業
1332.T,ニッスイ,1189.5,3607.41863424,13.351667,1.1804097,41.35267221607746,332568000000.0,348938000000.0,30453000000.0,303271829.0,-29946700000.00006,-98.74540638589963,-0.08301421301883113,-108.3014213018831,,EDINET,,水産・農林業
1375.T,ユキグニファクトリー,1172.0,467.4267136,15.7972765,3.4086413,39.19227299262326,9229000000.0,23803000000.0,88000000.0,39882822.0,-16892700000.000004,-423.5582928409631,-0.36139786078580466,-136.13978607858047,,EDINET,,水産・農林業
1377.T,サカタのタネ,4375.0,1843.65613056,15.390839,1.0359912,82.56419009309063,113848000000.0,29217000000.0,18464000000.0,42140712.0,94634100000.0,2245.6692236239387,0.5132958225426145,-48.67041774573854,,EDINET,,水産・農林業
1376.T,カネコ種苗,1585.0,173.81187584,13.020619,0.6499098,49.358331556301046,38277060000.0,24306505000.0,2264370000.0,10966049.0,13124963499.999996,1196.8725928545455,0.7551246642615429,-24.487533573845713,,EDINET,,水産・農林業
1379.T,ホクト,2094.0,656.84955136,10.915346,1.0183082,57.08720960906037,38621000000.0,50811000000.0,8374000000.0,31368174.0,-11409300000.000008,-363.7221599191591,-0.17369730655165191,-117.36973065516518,,EDINET,,水産・農林業
1380.T,秋川牧園,1000.0,41.69122048,192.3077,1.939127,31.288113761974667,2933981000.0,4939243000.0,118784000.0,4169122.0,-2416037500.0,-579.5075078157943,-0.5795075078157943,-157.95075078157942,,EDINET,,水産・農林業
1381.T,アクシーズ,3575.0,200.76019712,6.9203815,0.833618,86.13758723828514,12104000000.0,3728000000.0,1122000000.0,5615670.0,8788600000.0,1565.0136136916876,0.43776604578788464,-56.22339542121153,,EDINET,,水産・農林業
1382.T,ホーブ,890.0,6.77841792,,0.98238224,70.69412633566733,984893000.0,354196000.0,0.0,761620.0,595277400.0,781.5937081484204,0.8781951776948544,-12.180482230514558,投資有価証券,EDINET,,水産・農林業
1383.T,ベルグアース,3005.0,48.09069568,45.661755,2.2987907,35.88827561779484,2821698000.0,3557187000.0,24741000.0,1600356.0,-1073889000.0000005,-671.0313205311821,-0.22330493195713216,-122.33049319571323,,EDINET,,水産・農林業
1384.T,ホクリヨウ,2184.0,184.74102784,4.784647,1.8659077,74.85684984189386,6795000000.0,5062000000.0,530000000.0,8458838.0,1597800000.0,188.8911928565129,0.08648864141781726,-91.35113585821829,,EDINET,,水産・農林業
1401.T,エムビーエス,1335.0,92.54088704,16.461159,2.3842309,75.9130836710307,3290133000.0,1181760000.0,377818000.0,6931902.0,2254669600.0,325.25987816907974,0.24364035817908594,-75.63596418209141,,EDINET,,建設業
1407.T,ウエストホールディングス,2190.0,868.53541888,16.807367,2.4774177,24.59507492628546,76518000000.0,92497000000.0,1742000000.0,39659150.0,-24009300000.000015,-605.3911896750186,-0.27643433318494,-127.64343331849402,,EDINET,,建設業
1414.T,ショーボンドホールディングス,1264.0,2534.73161216,16.611908,2.3706594,82.3754403623553,100346000000.0,25715000000.0,11511000000.0,200532560.0,80117200000.0,399.52215241255584,0.3160776522251233,-68.39223477748767,,EDINET,,建設業
1417.T,ミライト・ワン,3507.0,3054.07197184,13.392141,1.118387,50.30511359573626,321194000000.0,267862000000.0,19397000000.0,87085030.0,40123700000.0,460.7416452632559,0.13137771464592413,-86.86222853540758,,EDINET,,建設業
1418.T,インターライフホールディングス,586.0,89.38814464,10.88208,1.8625704,50.44755495681854,6957357000.0,5223471000.0,536023000.0,15253949.0,1586755000.0,104.02257146657564,0.177512920591426,-82.2487079408574,,EDINET,,建設業
1419.T,タマホーム,2896.0,839.49707264,69.44844,2.8295426,34.34681038071888,67570000000.0,58027000000.0,315000000.0,28988158.0,3960799999.9999924,136.63510458305052,0.047180630035583745,-95.28193699644162,,EDINET,,建設業
1420.T,サンヨーホームズ,630.0,78.13064192,5.1357303,0.4834217,35.592429918553,45291402000.0,35232144000.0,30140000.0,12401689.0,6557141600.0,528.7297238303589,0.8392535298894586,-16.07464701105414,,EDINET,,建設業
1429.T,日本アクア,790.0,254.06027776,13.284008,2.2525284,45.07451516701631,18819894000.0,13525927000.0,3380000.0,32159529.0,3943740299.999998,122.63053665991184,0.15522852741760992,-84.477147258239,,EDINET,,建設業
1430.T,ファーストコーポレーション,1053.0,126.26166784,6.4975934,1.1330012,34.52190567309811,24208066000.0,15128861000.0,32033000.0,11990662.0,7588741999.999998,632.8876587464478,0.6010329142891242,-39.89670857108758,,EDINET,,建設業
1431.T,Ｌｉｂ　Ｗｏｒｋ,654.0,152.16301056,146.9663,3.251968,40.91264885898283,9744741000.0,7170737000.0,10030000.0,23266517.0,1863951299.999999,80.11303539760588,0.1224969960208041,-87.75030039791957,,EDINET,,建設業
1432.T,動力,174.0,,,,,0.0,0.0,0.0,,,,,,"流動資産, 負債合計, 投資有価証券",yfinance,株価または発行済株式数を取得できませんでした,建設業
1433.T,ベステラ,1194.0,105.92518144,14.619812,2.0164356,64.76598059756635,7130366000.0,6192955000.0,3403448000.0,8871456.0,2700529099.999999,304.4065258284547,0.2549468390523071,-74.50531609476928,,EDINET,,建設業
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,175.0,155.49974528,7.5757575,1.3983779,70.12153777892648,9823637000.0,3922974000.0,1038034000.0,88857000.0,6234989400.0,70.16880380836625,0.4009645931906643,-59.903540680933574,,EDINET,,不動産業
1434.T,ＪＥＳＣＯホールディングス,1594.0,110.9188096,7.220184,1.3210915,42.84614259600707,12998934000.0,10987917000.0,239694000.0,6958520.0,1080011099.999998,155.20701241068477,0.09736951845086873,-90.26304815491312,,EDINET,,建設業
1436.T,グリーンエナジー＆カンパニー,1757.0,217.30039808,45.400517,3.7271008,34.42442134771275,11249763000.0,8254679000.0,234450000.0,12367695.0,2333731100.0,188.69571896784325,0.10739653896860743,-89.26034610313926,,EDINET,,建設業
1438.T,岐阜造園,2245.0,72.96728064,14.727105,1.6054406,71.74932608629038,3437601000.0,1473505000.0,163466000.0,3250213.0,1931171699.9999998,594.1677360837581,0.2646626886787341,-73.53373113212659,,EDINET,,建設業
1443.T,技研ホールディングス,273.0,44.31864832,7.2780595,0.34025815,70.70729216931431,4082888000.0,5248909000.0,5911023000.0,16233937.0,2446804199.9999995,150.72155324983703,0.5520936016477547,-44.79063983522453,,EDINET,,建設業
1444.T,ニッソウ,2708.0,29.45970944,,1.7897755,54.24336375922353,2124963000.0,1266259000.0,33090000.0,1087877.0,755241100.0,694.2339069582315,0.2563640719934385,-74.36359280065615,,EDINET,,建設業
1445.T,ひかりホールディングス,2900.0,12.42940032,,4.048662,,0.0,0.0,0.0,428600.0,0.0,0.0,0.0,-100.0,"流動資産, 負債合計, 投資有価証券",yfinance,,建設業
1446.T,キャンディル,539.0,50.19491328,19.571531,1.620234,47.14734524375009,3675954000.0,3334643000.0,106500000.0,9312600.0,82396699.99999952,8.847872774520491,0.01641534837573375,-98.35846516242663,,EDINET,,建設業
1447.T,ＳＡＡＦホールディングス,343.0,83.52825344,18.480604,7.683003,15.122854374670691,10803735000.0,14154677000.0,289202000.0,24352260.0,-4563968300.000002,-187.41456850411427,-0.5463981589041232,-154.63981589041234,,EDINET,,建設業
1450.T,ＴＡＮＡＫＥＮ,1474.0,128.21957632,8.539482,1.3899144,76.5717803347861,9949416000.0,3160178000.0,241968000.0,8698750.0,6642597800.0,763.6267049863486,0.5180642503299515,-48.19357496700484,,EDINET,,建設業
1452.T,横浜ライト工業,18530.0,,6.876818,0.9063795,,0.0,0.0,0.0,49973.0,0.0,0.0,0.0,-100.0,"流動資産, 負債合計, 投資有価証券",yfinance,,建設業
1491.T,中外鉱業,737.0,105.90451712,6.6492243,1.272814,53.310407518565405,13126548000.0,8343687000.0,110071000.0,14369676.0,4025542000.0,280.141459000189,0.3801105278157246,-61.98894721842755,,EDINET,,非鉄金属
1514.T,住石ホールディングス,637.0,371.16653568,14.388977,1.3592291,90.55326022801404,21227000000.0,1023000000.0,2806000000.0,58267904.0,22065900000.0,378.6973356721395,0.5945013118871891,-40.54986881128108,,EDINET,,鉱業
1515.T,日鉄鉱業,3335.0,2624.0417792,18.684519,1.6342078,53.999523214308724,101970000000.0,88207000000.0,39161000000.0,78681909.0,32354999999.999985,411.21269693647093,0.1233021580019403,-87.66978419980597,,EDINET,,鉱業
1518.T,三井松島ホールディングス,2223.0,823.13158656,14.992918,1.4208341,43.619108668631426,71175000000.0,52146000000.0,10945000000.0,37027960.0,21475899999.999992,579.9914443031696,0.26090483324479063,-73.90951667552093,,EDINET,,その他製品
1605.T,ＩＮＰＥＸ,3936.0,45744.98258944,10.75263,0.8965086,64.93567456191813,369604000000.0,792391000000.0,26545000000.0,1162220005.0,-483444600000.0001,-415.9665105747342,-0.10568254841837758,-110.56825484183777,,EDINET,,鉱業
1662.T,石油資源開発,1910.0,4889.58656512,9.259259,0.8267507,76.39616450427262,230838000000.0,124340000000.0,180280000000.0,255999291.0,220259999999.99997,860.3930078853225,0.4504675433954568,-54.95324566045432,,EDINET,,鉱業
1663.T,Ｋ＆Ｏエナジーグループ,1932.0,1032.11057152,14.078555,0.93526393,85.21831685880429,49178000000.0,20040000000.0,15837000000.0,53421872.0,38219900000.0,715.4354306415919,0.37030819391386743,-62.96918060861325,,EDINET,,鉱業
