日付,code,name,market,33業種コード,sector,17業種コード,17業種区分,規模コード,規模区分,ticker
20260831,1301,極洋,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1,1301.T
20260831,1332,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400,1332.T
20260831,1333,Ｕｍｉｏｓ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400,1333.T
20260831,1375,ユキグニファクトリー,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2,1375.T
20260831,1376,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2,1376.T
20260831,1377,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1,1377.T
20260831,1379,ホクト,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2,1379.T
20260831,1380,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1380.T
20260831,1381,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1381.T
20260831,1382,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1382.T
20260831,1383,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1383.T
20260831,1384,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-,1384.T
20260831,1401,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材,-,-,1401.T
20260831,1407,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-,1407.T
20260831,1414,ショーボンドホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400,1414.T
20260831,1417,ミライト・ワン,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400,1417.T
20260831,1418,インターライフホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-,1418.T
20260831,1419,タマホーム,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1,1419.T
20260831,1420,サンヨーホームズ,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-,1420.T
20260831,1429,日本アクア,プライム（内国株式）,2050,建設業,3,建設・資材,-,-,1429.T
20260831,1430,ファーストコーポレーション,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-,1430.T
20260831,1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設・資材,-,-,1431.T
20260831,1432,動力,PRO Market,2050,建設業,3,建設・資材,-,-,1432.T
20260831,1433,ベステラ,プライム（内国株式）,2050,建設業,3,建設・資材,-,-,1433.T
20260831,1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-,1434.T
20260831,1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2,1435.T
20260831,1436,グリーンエナジー＆カンパニー,グロース（内国株式）,2050,建設業,3,建設・資材,-,-,1436.T
